Geneid,0_R1,0_R2,0_R3,30_R1,30_R2,30_R3,60_R1,60_R2,60_R3,Entity,Symbol
gene-VPVV882_gp04,3216,4433,3446,55588.0,63128.0,55154.0,141155.0,182806.0,114282.0,phage,gene-VPVV882_gp04
gene-VPVV882_gp34,255,426,260,1184.0,1210.0,1140.0,3606.0,3871.0,2437.0,phage,gene-VPVV882_gp34
gene-VPVV882_gp11,694,995,788,10011.0,8808.0,9131.0,19366.0,22671.0,14658.0,phage,gene-VPVV882_gp11
gene-VPVV882_gp17,559,804,545,6649.0,7451.0,6587.0,15958.0,20379.0,12805.0,phage,gene-VPVV882_gp17
gene-VPVV882_gp22,449,656,479,4696.0,5002.0,4412.0,13831.0,15473.0,9774.0,phage,gene-VPVV882_gp22
gene-VPVV882_gp56,1070,1566,1261,5360.0,5561.0,5100.0,8613.0,8848.0,5683.0,phage,gene-VPVV882_gp56
gene-VPVV882_gp36,3014,3870,4656,44419.0,22151.0,30761.0,73294.0,58083.0,43096.0,phage,gene-VPVV882_gp36
gene-VPVV882_gp52,322,473,410,2693.0,2688.0,2542.0,12866.0,12325.0,8411.0,phage,gene-VPVV882_gp52
gene-VPVV882_gp18,499,668,411,6000.0,6806.0,6147.0,12231.0,13834.0,9028.0,phage,gene-VPVV882_gp18
gene-VPVV882_gp55,195,269,239,1765.0,2413.0,2008.0,3414.0,4093.0,2648.0,phage,gene-VPVV882_gp55
gene-VPVV882_gp13,117,164,130,1734.0,2194.0,1997.0,4868.0,5434.0,3353.0,phage,gene-VPVV882_gp13
gene-VPVV882_gp26,337,401,438,5301.0,6294.0,5697.0,14823.0,17421.0,11924.0,phage,gene-VPVV882_gp26
gene-VPVV882_gp45,336,432,404,4456.0,3858.0,3898.0,14659.0,14051.0,10125.0,phage,gene-VPVV882_gp45
gene-VPVV882_gp58,1222,1673,1726,24460.0,27709.0,23761.0,63248.0,72086.0,43419.0,phage,gene-VPVV882_gp58
gene-VPVV882_gp10,192,276,180,2370.0,2387.0,2370.0,5931.0,6478.0,4149.0,phage,gene-VPVV882_gp10
gene-VPVV882_gp38,260,322,272,3636.0,3697.0,3677.0,14586.0,14894.0,9933.0,phage,gene-VPVV882_gp38
gene-VPVV882_gp05,1083,1328,1130,31698.0,30013.0,28882.0,54034.0,62739.0,40571.0,phage,gene-VPVV882_gp05
gene-VPVV882_gp59,3511,5190,4775,8124.0,9290.0,7863.0,8596.0,8735.0,5985.0,phage,gene-VPVV882_gp59
gene-VPVV882_gp32,429,600,482,2545.0,3006.0,2736.0,5758.0,6449.0,3932.0,phage,gene-VPVV882_gp32
gene-VPVV882_gp51,235,217,300,1634.0,1141.0,1027.0,4067.0,3305.0,2317.0,phage,gene-VPVV882_gp51
gene-VPVV882_gp06,1780,2378,1967,31730.0,32328.0,29484.0,59336.0,66164.0,43347.0,phage,gene-VPVV882_gp06
gene-VPVV882_gp12,203,264,201,2616.0,3044.0,2825.0,7582.0,8495.0,5589.0,phage,gene-VPVV882_gp12
gene-VPVV882_gp40,534,690,658,16949.0,14086.0,15645.0,57636.0,61719.0,45354.0,phage,gene-VPVV882_gp40
gene-VPVV882_gp65,696,1025,877,3576.0,3889.0,3600.0,5628.0,5787.0,3745.0,phage,gene-VPVV882_gp65
gene-VPVV882_gp53,351,561,520,4430.0,3588.0,3549.0,19900.0,18127.0,12767.0,phage,gene-VPVV882_gp53
gene-VPVV882_gp21,418,630,486,7250.0,8812.0,8005.0,21208.0,23169.0,15373.0,phage,gene-VPVV882_gp21
gene-VPVV882_gp48,234,267,271,1813.0,1460.0,1592.0,4687.0,4121.0,3242.0,phage,gene-VPVV882_gp48
