Geneid,Entity,Symbol,0_R1,0_R2,0_R3,6_R1,6_R2,6_R3,12_R1,12_R2,12_R3,18_R1,18_R2,18_R3,Temporal_Class
gene-PA4040,host,gene-PA4040,5.049856007249537,6.035481432524756,5.926926025970411,4.394449154672439,5.111987788356544,4.6443908991413725,4.330733340286331,4.795790545596741,4.852030263919617,4.418840607796598,4.727387818712341,4.5217885770490405,early
gene-PA2109,host,gene-PA2109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,early
gene-PA1173,host,napB,3.912023005428146,5.407171771460119,4.127134385045092,4.709530201312334,5.298317366548036,4.356708826689592,3.7612001156935624,4.418840607796598,3.6888794541139363,3.9889840465642745,4.007333185232471,4.02535169073515,early
gene-PA3283,host,gene-PA3283,4.795790545596741,5.25227342804663,6.1092475827643655,4.624972813284271,4.812184355372417,6.1675164908883415,4.465908118654584,4.543294782270004,5.981414211254481,4.653960350157523,4.736198448394496,6.169610732491456,late
gene-PA3782,host,gene-PA3782,5.6240175061873385,6.395261598115449,5.8522024797744745,5.081404364984463,6.137727054086234,5.680172609017068,5.056245805348308,5.455321115357702,5.720311776607412,5.2574953720277815,5.5134287461649825,5.472270673671475,early
gene-PA3986,host,gene-PA3986,5.135798437050262,5.8888779583328805,5.583496308781699,4.07753744390572,4.442651256490317,4.060443010546419,4.1588830833596715,4.02535169073515,4.04305126783455,4.48863636973214,4.709530201312334,3.828641396489095,early
gene-PA2633,host,gene-PA2633,6.1675164908883415,6.893656354602635,6.516193076042964,6.2166061010848646,6.48768401848461,5.676753802268282,5.652489180268651,6.255750041753367,6.22455842927536,5.6937321388027,6.0867747269123065,5.834810737062605,early
gene-PA4163,host,gene-PA4163,6.966967138613983,7.3537223303996315,7.002155954403621,6.364750756851911,7.403061091090091,7.038783541388542,6.385194398997726,6.690842277418564,6.999422467507961,6.429719478039138,6.900730664045173,7.042286171939743,early
gene-PA1887,host,gene-PA1887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,early
gene-PA0210,host,mdcC,2.772588722239781,3.970291913552122,3.367295829986474,3.332204510175204,3.6635616461296463,2.6390573296152584,1.791759469228055,3.1354942159291497,2.6390573296152584,2.302585092994046,2.1972245773362196,2.1972245773362196,early
gene-PA1325,host,gene-PA1325,4.394449154672439,5.993961427306569,5.241747015059643,4.74493212836325,5.497168225293202,4.983606621708336,4.174387269895637,4.927253685157205,4.962844630259907,4.30406509320417,5.14166355650266,4.890349128221754,early
