Geneid,5_R1,5_R2,15_R1,15_R2,35_R1,35_R2,Entity,Symbol
gene-PHIKZ228,93,58,1520,732.0,228.0,632.0,phage,gene-PHIKZ228
gene-PHIKZ038,23,32,89,66.0,9.0,89.0,phage,gene-PHIKZ038
gene-PHIKZ215,8,7,26,16.0,6.0,36.0,phage,gene-PHIKZ215
gene-PHIKZ_p43,25,23,887,520.0,137.0,427.0,phage,gene-PHIKZ_p43
gene-PHIKZ075,92,113,686,437.0,134.0,559.0,phage,gene-PHIKZ075
gene-PHIKZ_p28,1,0,123,62.0,18.0,63.0,phage,gene-PHIKZ_p28
gene-PHIKZ287,48,65,657,330.0,50.0,181.0,phage,gene-PHIKZ287
gene-PHIKZ223,13,12,64,41.0,8.0,106.0,phage,gene-PHIKZ223
gene-PHIKZ_p29,14,12,351,218.0,222.0,712.0,phage,gene-PHIKZ_p29
gene-PHIKZ116,99,94,89,45.0,9.0,97.0,phage,gene-PHIKZ116
gene-PHIKZ_p19,25,27,1783,1032.0,367.0,988.0,phage,gene-PHIKZ_p19
gene-PHIKZ141,9,6,264,138.0,251.0,971.0,phage,gene-PHIKZ141
gene-PHIKZ200,16,20,65,29.0,23.0,184.0,phage,gene-PHIKZ200
gene-PHIKZ_p91,47,57,31,24.0,2.0,25.0,phage,gene-PHIKZ_p91
gene-PHIKZ_p41,2,1,33,37.0,6.0,52.0,phage,gene-PHIKZ_p41
gene-PHIKZ285,75,73,138,106.0,14.0,176.0,phage,gene-PHIKZ285
gene-PHIKZ181,96,88,440,234.0,1090.0,3927.0,phage,gene-PHIKZ181
gene-PHIKZ_p39,38,25,56,40.0,46.0,144.0,phage,gene-PHIKZ_p39
gene-PHIKZ031,128,101,1155,731.0,114.0,375.0,phage,gene-PHIKZ031
gene-PHIKZ153,13,6,58,34.0,87.0,344.0,phage,gene-PHIKZ153
gene-PHIKZ243,51,43,299,172.0,34.0,163.0,phage,gene-PHIKZ243
gene-PHIKZ160,4,2,24,13.0,41.0,165.0,phage,gene-PHIKZ160
gene-PHIKZ033,4,4,197,109.0,24.0,181.0,phage,gene-PHIKZ033
gene-PHIKZ242,98,60,309,145.0,20.0,157.0,phage,gene-PHIKZ242
gene-PHIKZ078,6,14,446,230.0,71.0,292.0,phage,gene-PHIKZ078
gene-PHIKZ252,166,146,146,82.0,21.0,105.0,phage,gene-PHIKZ252
gene-PHIKZ_p18,98,85,266,153.0,26.0,125.0,phage,gene-PHIKZ_p18
gene-PHIKZ_p52,3,1,4,1.0,13.0,62.0,phage,gene-PHIKZ_p52
gene-PHIKZ_p17,38,35,575,345.0,56.0,180.0,phage,gene-PHIKZ_p17
gene-PHIKZ275,73,67,245,127.0,21.0,109.0,phage,gene-PHIKZ275
gene-PHIKZ061,161,124,495,310.0,46.0,155.0,phage,gene-PHIKZ061
gene-PHIKZ261,199,159,149,83.0,16.0,103.0,phage,gene-PHIKZ261
gene-PHIKZ043,75,72,461,231.0,52.0,237.0,phage,gene-PHIKZ043
gene-PHIKZ196,19,15,332,203.0,41.0,154.0,phage,gene-PHIKZ196
gene-PHIKZ_p26,1,6,56,38.0,18.0,100.0,phage,gene-PHIKZ_p26
gene-PHIKZ120,88,76,600,295.0,7449.0,12677.0,phage,gene-PHIKZ120
gene-PHIKZ035,18,20,160,87.0,194.0,646.0,phage,gene-PHIKZ035
