Geneid,Ctrl_R1,Ctrl_R2,Ctrl_R3,0_R1,0_R2,0_R3,2_R1,2_R2,2_R3,5_R1,5_R2,5_R3,10_R1,10_R2,10_R3,20_R1,20_R2,20_R3,30_R1,30_R2,30_R3,Entity,Symbol
gene-CPT_phageK_gp002,0,0,0,3.0,0.0,1.0,50.0,1.0,7.0,744.0,95.0,728.0,1600.0,992.0,759.0,367.0,356.0,280.0,209.0,121.0,119.0,phage,gene-CPT_phageK_gp002
gene-CPT_phageK_gp129,1,1,0,78.0,0.0,0.0,7.0,8.0,1.0,540.0,92.0,1088.0,3912.0,2981.0,4155.0,5225.0,5827.0,6599.0,5896.0,6044.0,3194.0,phage,gene-CPT_phageK_gp129
gene-CPT_phageK_gp106,1,0,1,22.0,0.0,1.0,46.0,7.0,33.0,990.0,190.0,1369.0,3606.0,2519.0,3142.0,2035.0,2309.0,2613.0,1470.0,1716.0,1287.0,phage,gene-CPT_phageK_gp106
gene-CPT_phageK_gp105,0,0,1,56.0,0.0,4.0,97.0,14.0,30.0,1719.0,304.0,2537.0,6907.0,4752.0,6225.0,4932.0,5208.0,5974.0,4242.0,4328.0,2748.0,phage,gene-CPT_phageK_gp105
gene-CPT_phageK_gp126,0,0,0,44.0,1.0,1.0,22.0,1.0,11.0,298.0,38.0,490.0,765.0,588.0,862.0,2906.0,1964.0,5039.0,4616.0,4230.0,2427.0,phage,gene-CPT_phageK_gp126
gene-CPT_phageK_gp208,0,0,0,34.0,2.0,1.0,125.0,14.0,45.0,3172.0,427.0,3398.0,11140.0,6576.0,7957.0,5123.0,7238.0,5991.0,2866.0,3664.0,1827.0,phage,gene-CPT_phageK_gp208
gene-CPT_phageK_gp189,0,0,0,47.0,0.0,0.0,2.0,0.0,0.0,7.0,1.0,5.0,14.0,14.0,11.0,841.0,272.0,2399.0,6584.0,2678.0,5346.0,phage,gene-CPT_phageK_gp189
gene-CPT_phageK_gp136,0,0,0,34.0,1.0,0.0,78.0,12.0,24.0,2463.0,359.0,3020.0,12048.0,6069.0,8713.0,4946.0,6880.0,5192.0,2389.0,2865.0,1569.0,phage,gene-CPT_phageK_gp136
gene-CPT_phageK_gp041,0,0,0,2.0,0.0,2.0,36.0,9.0,22.0,475.0,80.0,709.0,1697.0,828.0,1056.0,864.0,583.0,964.0,483.0,274.0,359.0,phage,gene-CPT_phageK_gp041
gene-CPT_phageK_gp018,0,1,0,17.0,1.0,15.0,636.0,96.0,498.0,3306.0,1211.0,2206.0,3524.0,3211.0,2349.0,1731.0,1227.0,2367.0,880.0,878.0,1316.0,phage,gene-CPT_phageK_gp018
