Geneid,Ctrl_R1,Ctrl_R2,Ctrl_R3,0_R1,0_R2,0_R3,2_R1,2_R2,2_R3,5_R1,5_R2,5_R3,10_R1,10_R2,10_R3,20_R1,20_R2,20_R3,30_R1,30_R2,30_R3,Entity,Symbol
gene-CPT_phageK_gp206,0,0,1,111.0,2.0,2.0,135.0,17.0,36.0,3601.0,498.0,4915.0,17317.0,9254.0,12843.0,12672.0,14124.0,17817.0,11727.0,11080.0,6825.0,phage,gene-CPT_phageK_gp206
gene-CPT_phageK_gp104,0,0,0,42.0,0.0,3.0,40.0,8.0,9.0,886.0,137.0,1038.0,4177.0,2395.0,3216.0,2547.0,3317.0,3881.0,3850.0,3773.0,3426.0,phage,gene-CPT_phageK_gp104
gene-CPT_phageK_gp089,0,1,0,7.0,3.0,1.0,73.0,10.0,19.0,1795.0,228.0,1923.0,4910.0,3216.0,2672.0,1035.0,1540.0,1123.0,722.0,607.0,611.0,phage,gene-CPT_phageK_gp089
gene-CPT_phageK_gp134,0,0,0,91.0,2.0,1.0,153.0,30.0,62.0,3452.0,627.0,5299.0,15935.0,9211.0,15329.0,11605.0,11525.0,15540.0,8999.0,9556.0,5674.0,phage,gene-CPT_phageK_gp134
gene-CPT_phageK_gp015,1,0,0,2.0,1.0,3.0,197.0,22.0,157.0,1253.0,217.0,547.0,1256.0,602.0,356.0,211.0,182.0,273.0,126.0,75.0,167.0,phage,gene-CPT_phageK_gp015
gene-CPT_phageK_gp075,0,1,0,5.0,0.0,0.0,74.0,12.0,24.0,1256.0,167.0,1294.0,2904.0,2005.0,1660.0,584.0,789.0,611.0,294.0,242.0,301.0,phage,gene-CPT_phageK_gp075
gene-CPT_phageK_gp140,0,0,1,25.0,3.0,0.0,290.0,24.0,121.0,3716.0,622.0,4377.0,11619.0,6908.0,8371.0,3416.0,4306.0,4118.0,1836.0,1867.0,1676.0,phage,gene-CPT_phageK_gp140
gene-CPT_phageK_gp149,0,0,0,124.0,1.0,1.0,173.0,19.0,75.0,2206.0,442.0,4192.0,8911.0,7554.0,9482.0,11384.0,9108.0,15673.0,12265.0,13059.0,10509.0,phage,gene-CPT_phageK_gp149
gene-CPT_phageK_gp034,1,0,1,11.0,0.0,4.0,283.0,43.0,198.0,1605.0,618.0,1419.0,1887.0,1853.0,1514.0,569.0,689.0,1220.0,349.0,379.0,589.0,phage,gene-CPT_phageK_gp034
gene-CPT_phageK_gp186,0,0,0,34.0,0.0,0.0,9.0,1.0,1.0,39.0,12.0,29.0,294.0,132.0,351.0,2385.0,1868.0,4183.0,4027.0,3704.0,2654.0,phage,gene-CPT_phageK_gp186
gene-CPT_phageK_gp019,0,1,1,7.0,1.0,1.0,265.0,57.0,210.0,1555.0,575.0,1045.0,1715.0,1597.0,1259.0,476.0,501.0,959.0,269.0,341.0,621.0,phage,gene-CPT_phageK_gp019
gene-CPT_phageK_gp025,0,0,0,10.0,0.0,0.0,10.0,2.0,2.0,433.0,69.0,619.0,2526.0,1099.0,1825.0,1310.0,1535.0,1578.0,1071.0,1134.0,408.0,phage,gene-CPT_phageK_gp025
gene-CPT_phageK_gp014,0,0,0,4.0,0.0,2.0,81.0,4.0,76.0,481.0,110.0,244.0,525.0,269.0,155.0,80.0,76.0,93.0,48.0,33.0,70.0,phage,gene-CPT_phageK_gp014
gene-CPT_phageK_gp171,0,0,0,108.0,1.0,0.0,24.0,5.0,7.0,124.0,55.0,145.0,538.0,396.0,603.0,4782.0,3391.0,11374.0,13282.0,11314.0,12913.0,phage,gene-CPT_phageK_gp171
gene-CPT_phageK_gp187,0,0,0,15.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,7.0,71.0,31.0,90.0,604.0,453.0,808.0,1281.0,651.0,556.0,phage,gene-CPT_phageK_gp187
gene-CPT_phageK_gp146,0,0,0,239.0,1.0,0.0,39.0,16.0,11.0,1767.0,268.0,3523.0,13523.0,9968.0,13708.0,17034.0,17231.0,23841.0,20141.0,23676.0,16309.0,phage,gene-CPT_phageK_gp146
gene-CPT_phageK_gp177,0,0,0,37.0,0.0,0.0,9.0,0.0,5.0,105.0,17.0,116.0,376.0,192.0,337.0,2411.0,1874.0,4660.0,5275.0,4371.0,3601.0,phage,gene-CPT_phageK_gp177
gene-CPT_phageK_gp110,0,0,0,70.0,3.0,1.0,60.0,7.0,18.0,1495.0,189.0,2425.0,6771.0,4076.0,5533.0,6760.0,6044.0,7680.0,7064.0,4874.0,3090.0,phage,gene-CPT_phageK_gp110
gene-CPT_phageK_gp203,0,0,0,8.0,0.0,0.0,19.0,6.0,6.0,844.0,102.0,798.0,3367.0,1344.0,1966.0,1359.0,1741.0,1792.0,857.0,982.0,544.0,phage,gene-CPT_phageK_gp203
gene-CPT_phageK_gp152,0,0,0,45.0,0.0,0.0,90.0,6.0,42.0,1623.0,291.0,1776.0,4037.0,3002.0,2572.0,2420.0,2282.0,4396.0,4788.0,4304.0,3734.0,phage,gene-CPT_phageK_gp152
gene-CPT_phageK_gp120,1,3,0,367.0,8.0,10.0,387.0,67.0,179.0,7878.0,1696.0,17762.0,41298.0,33620.0,52158.0,51023.0,46066.0,69891.0,28138.0,40414.0,21372.0,phage,gene-CPT_phageK_gp120
