Geneid,Entity,Symbol,Ctrl_R1,Ctrl_R2,Ctrl_R3,0_R1,0_R2,0_R3,2_R1,2_R2,2_R3,5_R1,5_R2,5_R3,10_R1,10_R2,10_R3,20_R1,20_R2,20_R3,30_R1,30_R2,30_R3,Temporal_Class
gene-CPT_phageK_gp039,phage,gene-CPT_phageK_gp039,0.0,0.0,0.0,1.9459101490553132,1.0986122886681098,1.0986122886681098,5.262690188904886,2.8903717578961645,5.043425116919247,7.1731917424865985,5.298317366548036,6.289715570908998,7.1308988302963465,6.42648845745769,5.846438775057725,5.327876168789581,5.099866427824199,5.616771097666572,4.941642422609304,4.564348191467836,4.983606621708336,middle
gene-CPT_phageK_gp166,phage,gene-CPT_phageK_gp166,,0.0,0.0,,1.791759469228055,1.3862943611198906,3.6375861597263857,3.1780538303479458,2.8903717578961645,6.045005314036012,4.584967478670572,6.516193076042964,7.587817219993427,7.62657020629066,7.490529402060711,10.369043806854583,9.640172836532642,11.607226044390464,12.141859404816522,11.76703265652155,,late
gene-CPT_phageK_gp201,phage,gene-CPT_phageK_gp201,0.0,0.0,,3.044522437723423,1.0986122886681098,0.0,4.499809670330265,2.1972245773362196,3.784189633918261,7.4342573821331355,5.293304824724492,7.421177528595393,8.655562860681009,7.894318063841624,8.157657015196472,7.787382026484701,8.000014093678072,8.096208271650037,7.289610521451167,7.404887575616125,6.93537044601511,middle
gene-CPT_phageK_gp117,phage,gene-CPT_phageK_gp117,0.0,0.6931471805599453,0.0,4.564348191467836,0.0,1.0986122886681098,3.367295829986474,2.302585092994046,2.0794415416798357,7.072421900537371,5.298317366548036,7.711101251840158,9.054271186326293,8.657302899400882,9.001099725830965,9.20974019190415,9.316680407747508,9.46374151045109,9.178230318057949,9.23200401161221,8.494333897270154,late
gene-CPT_phageK_gp065,phage,gene-CPT_phageK_gp065,0.0,1.3862943611198906,0.0,3.2188758248682006,0.6931471805599453,0.6931471805599453,4.919980925828125,2.5649493574615367,4.04305126783455,8.14351740579748,6.169610732491456,8.29254851397576,9.243097936214355,8.853808274977197,8.891511570527564,8.304247465078474,8.518192691749322,8.32069157104845,7.582738488914411,7.720461694599722,7.123672785204607,middle
gene-CPT_phageK_gp223,phage,gene-CPT_phageK_gp223,0.0,0.0,0.0,2.4849066497880004,0.6931471805599453,0.0,3.912023005428146,1.791759469228055,2.0794415416798357,7.050122520269059,5.0238805208462765,7.080867896690782,8.442469645220301,7.739359202689098,7.892078421248119,7.44600149832412,7.762596048540069,7.422373700986824,6.855408798609928,7.078341579557671,6.1070228877422545,middle
gene-CPT_phageK_gp090,phage,gene-CPT_phageK_gp090,0.0,1.3862943611198906,0.0,2.9444389791664403,0.0,1.0986122886681098,5.308267697401205,3.091042453358316,4.532599493153256,8.268218880067506,6.317164686747284,8.31996102188653,9.166701914946353,8.770749549138642,8.639410824140487,7.61972421378267,7.861341795599989,7.761319180947987,7.134890851565884,7.0587581525186645,7.179307969504034,middle
gene-CPT_phageK_gp020,phage,gene-CPT_phageK_gp020,0.0,0.6931471805599453,,2.1972245773362196,1.0986122886681098,0.6931471805599453,5.529429087511423,3.8501476017100584,5.2832037287379885,7.382124365737512,6.453624998892692,7.232733136177615,7.544861068658458,7.491645473605133,7.31455283232408,6.324358962381311,6.4425401664681985,7.085064293952548,5.805134968916488,5.978885764901122,6.48768401848461,middle
gene-CPT_phageK_gp012,phage,gene-CPT_phageK_gp012,0.0,0.0,0.0,0.6931471805599453,0.0,1.791759469228055,4.634728988229636,2.3978952727983707,4.127134385045092,6.628041376179533,4.624972813284271,5.0106352940962555,6.118097198041348,5.0106352940962555,4.584967478670572,3.8918202981106265,3.828641396489095,4.290459441148391,3.912023005428146,3.4657359027997265,3.9889840465642745,middle
gene-CPT_phageK_gp050,phage,gene-CPT_phageK_gp050,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,4.382026634673881,1.3862943611198906,3.4339872044851463,7.170119543449628,5.53338948872752,7.303843225277705,7.878534196140362,7.669028288589683,7.402451520818244,6.148468295917647,6.53813982376767,6.220590170099739,5.541263545158426,5.37989735354046,5.579729825986222,middle
gene-CPT_phageK_gp133,phage,gene-CPT_phageK_gp133,0.0,0.6931471805599453,0.0,4.882801922586371,1.6094379124341003,0.6931471805599453,4.8283137373023015,3.1354942159291497,3.7376696182833684,8.045908742270779,6.39024066706535,8.569595870209286,9.636000187369866,9.16837188715368,9.624633068687027,9.414178772232386,9.40738632416852,9.71063069382679,9.25320827220336,9.255313737618915,8.770128527538184,late
gene-CPT_phageK_gp195,phage,gene-CPT_phageK_gp195,0.0,0.6931471805599453,,6.171700597410915,2.302585092994046,2.0794415416798357,5.170483995038151,3.1780538303479458,4.1588830833596715,7.520776415062797,6.173786103901937,8.183676582620658,8.675563527387679,8.792245847467877,8.707152175339404,9.502263438685219,9.06009870864564,10.550040905213313,10.71435109986347,10.443570962369053,11.242061177444606,late
gene-CPT_phageK_gp202,phage,gene-CPT_phageK_gp202,,0.0,0.0,3.6635616461296463,0.6931471805599453,0.6931471805599453,4.882801922586371,2.8903717578961645,4.060443010546419,7.913521017283895,5.659482215759621,7.992268643270745,9.253974408996244,8.531490496117062,8.798756582859841,8.479491324232226,8.699848026000312,8.801168401936692,8.041734711487537,8.119398589612294,7.532623618788788,middle
gene-CPT_phageK_gp003,phage,gene-CPT_phageK_gp003,0.0,0.0,0.0,1.6094379124341003,0.0,1.0986122886681098,4.248495242049359,1.9459101490553132,3.2188758248682006,6.837332814685591,4.969813299576001,6.883462586413092,7.515889085215125,7.237778191923443,6.947937068614969,5.676753802268282,5.976350909297934,5.707110264748875,5.030437921392435,4.948759890378168,4.919980925828125,middle
gene-CPT_phageK_gp026,phage,gene-CPT_phageK_gp026,0.0,0.0,0.0,2.3978952727983707,0.6931471805599453,0.0,3.295836866004329,1.0986122886681098,1.9459101490553132,6.721425700790643,4.61512051684126,6.9440872082295275,8.26796230533871,7.509335266016592,7.925157512224703,7.529406457837013,7.645397699428633,7.724004656676065,7.109062135687172,7.313886831633462,6.333279628139691,middle
gene-CPT_phageK_gp051,phage,gene-CPT_phageK_gp051,0.0,0.0,0.0,1.0986122886681098,0.0,0.6931471805599453,4.143134726391533,1.9459101490553132,3.091042453358316,6.827629234502852,5.056245805348308,6.894670039433482,7.501082124259871,7.22983877815125,6.934397209928558,5.662960480135946,6.163314804034641,5.655991810819852,5.030437921392435,4.990432586778736,4.919980925828125,middle
gene-CPT_phageK_gp191,phage,gene-CPT_phageK_gp191,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.0,4.77912349311153,2.1972245773362196,3.8066624897703196,7.018401799069201,5.087596335232384,6.790097235513905,7.592870287844818,6.873163834212518,6.453624998892692,6.1070228877422545,5.771441123130016,6.315358001522335,5.768320995793772,5.10594547390058,6.095824562432225,middle
gene-CPT_phageK_gp087,phage,gene-CPT_phageK_gp087,0.0,0.6931471805599453,0.0,3.044522437723423,0.6931471805599453,0.0,5.209486152841421,2.995732273553991,4.23410650459726,7.984121958702927,6.293419278846481,8.122668023346407,8.889583991794973,8.56388591940822,8.53346016388011,7.466799475018602,7.671360923190644,7.735870319952567,6.843749949006225,6.953684210870537,7.068172000388042,middle
gene-CPT_phageK_gp044,phage,gene-CPT_phageK_gp044,,0.0,0.0,2.0794415416798357,0.0,1.3862943611198906,4.927253685157205,2.995732273553991,4.962844630259907,6.4425401664681985,5.147494476813453,6.077642243349034,6.297109319933935,6.144185634125646,5.7430031878094825,5.017279836814924,4.844187086458591,5.099866427824199,4.574710978503383,4.406719247264253,4.844187086458591,middle
gene-CPT_phageK_gp188,phage,gene-CPT_phageK_gp188,0.0,0.0,0.0,3.332204510175204,0.0,0.0,,0.6931471805599453,0.0,,,,,,,6.3784261836515865,5.429345628954441,7.380879035564116,8.37930948405285,7.4770384723196965,8.074960359115858,late
