Geneid,Entity,Symbol,5_R1,5_R2,5_R3,15_R1,15_R2,15_R3,30_R1,30_R2,30_R3
gene-phage515_00205,phage,gene-phage515_00205,7.459914766241105,7.578656850594762,7.509883061154913,7.580189417944541,7.427738840532894,7.826842098158293,7.014814351275545,7.094234845924755,6.520621127558696
gene-phage515_00230,phage,gene-phage515_00230,7.776954403322442,7.86940171257709,7.918264686095274,6.584791392385716,6.484635235635252,7.123672785204607,6.925595197110468,6.580639137284949,6.192362489474872
gene-phage515_00044,phage,mbpP,7.66105638236183,7.737616282857904,7.516977224604321,8.941676305360163,9.035272443893536,9.316140790862395,9.452894316810216,9.226508953137767,8.7879833961978
gene-phage515_00095,phage,pro,5.313205979041787,5.1647859739235145,5.147494476813453,7.953669778649798,8.394347361417392,8.58876938990546,11.525061524189727,10.16708182945882,10.62186378714185
gene-phage515_00015,phage,gene-phage515_00015,7.843064016692054,7.926241523170962,8.0040315078527,6.565264970035361,6.459904454377535,7.095064377287131,6.9411900550683745,6.591673732008658,6.194405391104672
gene-phage515_00167,phage,gene-phage515_00167,7.471363088187097,7.59337419312129,7.432483807917119,8.931948346431495,9.003193193746572,9.335474102732949,9.091669442258505,8.605020901781758,8.493719835230594
gene-phage515_00126,phage,gene-phage515_00126,7.591861714889934,7.772331575169614,7.636752112435779,9.27199975236291,9.42843117965374,9.743670851082243,10.538131297472674,9.892072649720829,9.766234959109752
gene-phage515_00209,phage,gene-phage515_00209,8.003028666384733,8.106816038947052,8.058010800802085,7.789040401657477,7.536363938404511,8.075271546297458,7.203405521083095,7.114769448366463,6.626717749249025
gene-phage515_00087,phage,gene-phage515_00087,7.415175109613295,7.524021415206125,7.43307534889858,7.854381210652365,8.030084094267563,8.399760094524142,9.828548465871634,9.409027282856401,9.258177701390343
gene-phage515_00138,phage,nrdI,7.455876687491824,7.584264818389059,7.3777589082278725,9.283219017388756,9.433803872101313,9.707959168254892,9.834458966125691,9.28609698437543,9.263596738276615
gene-phage515_00151,phage,gene-phage515_00151,8.300031711779575,8.387084506069217,8.224431573221159,9.693692018741418,9.795735290041899,10.055221027562059,9.858699369745993,9.275847174178303,9.25349564229011
gene-phage515_00177,phage,sci,8.647168267837984,8.761550139129644,8.644354337032917,9.40029935589935,9.445096238618559,9.843206621651198,9.778661019589283,9.59852367284982,9.043577154098081
gene-phage515_00068,phage,gene-phage515_00068,8.173575486634153,8.465268118551318,8.266164436612492,9.010180657052349,9.06566136060674,9.425532393502772,8.997642078523512,9.023769800892813,8.453187861440325
gene-phage515_00116,phage,gene-phage515_00116,7.491645473605133,7.487173694213739,7.517520850603031,7.446585099157725,7.349230824613334,7.843064016692054,8.946895523888447,8.348774539791274,8.183955717304954
gene-phage515_00094,phage,prt,6.192362489474872,6.278521424165844,6.202535517187923,7.500529485395295,7.835974581721566,8.078998258685154,10.574286869432166,9.556126244582746,9.779340559793246
gene-phage515_00091,phage,mbpF,7.554334823725748,7.765993079407675,7.504942068396171,9.7240617988542,10.040114150067954,10.30337044234806,12.057334789902779,11.415169296172337,11.230310532851465
gene-phage515_00197,phage,gene-phage515_00197,8.36799688505411,8.521384396034705,8.414495793177895,9.410256237171089,9.357466436866476,9.764168012286715,9.794007451917308,9.458449669308141,9.129021850798594
gene-phage515_00092,phage,mbpE,4.276666119016055,4.127134385045092,4.02535169073515,5.267858159063328,5.420534999272286,5.765191102784844,7.738488122494646,7.277938572945661,7.2399325913204695
gene-phage515_00077,phage,gene-phage515_00077,4.454347296253507,4.700480365792417,4.59511985013459,5.811140992976701,5.713732805509369,6.018593214496234,7.321849713788356,6.617402977974478,6.418364935936212
gene-phage515_00186,phage,gene-phage515_00186,8.332067707289548,8.41027590907016,8.333991247194975,8.676587243566487,8.624970783589669,8.960339366492091,8.506334448081361,8.307212626628308,7.901377353792616
gene-phage515_00008,phage,gene-phage515_00008,6.860663671448287,7.122866658599083,6.899723107284872,8.256866848974312,8.016317898503415,8.538758969330798,8.23031079913502,8.08271113423758,7.529943370601589
gene-phage515_00194,phage,gene-phage515_00194,7.935945103353701,8.142936010432265,7.8567067930958405,9.648143587996293,9.717037485158393,10.068832485122966,10.123706832333092,9.998024706360116,9.571156728415465
gene-phage515_00157,phage,sig,6.175867270105761,6.284134161070802,5.91350300563827,8.921324076511265,9.080117784926209,9.343209045050607,9.959584291887998,9.327056171672144,9.360310898552477
gene-phage515_00045,phage,mbpR,7.84971375760487,7.901377353792616,7.717351272185329,9.106756055719613,9.20391980417326,9.501665799342762,9.23366619727968,9.087720658428273,8.617038526385954
gene-phage515_00171,phage,gene-phage515_00171,6.601230118728877,6.725033642166843,6.46302945692067,8.481151420068972,8.623353387244627,8.902727664035522,9.186252576447092,8.588210678651517,8.533263371593732
