Geneid,Entity,Symbol,0_R1,0_R2,2.5_R1,2.5_R2,5_R1,5_R2,10_R1,10_R2,20_R1,20_R2,30_R1,30_R2
gene-b1609,host,rstB,6.643789733147672,4.927253685157205,6.2878585601617845,5.37989735354046,4.442651256490317,3.784189633918261,4.219507705176107,2.995732273553991,3.871201010907891,1.791759469228055,5.093750200806762,2.1972245773362196
gene-b2233,host,yfaL,6.182084906716632,5.14166355650266,6.016157159698354,5.4116460518550396,5.501258210544727,4.442651256490317,5.220355825078324,3.258096538021482,5.298317366548036,2.6390573296152584,6.063785208687608,2.9444389791664403
gene-b0597,host,entH,4.836281906951478,4.382026634673881,5.389071729816501,5.517452896464707,4.624972813284271,5.056245805348308,3.713572066704308,3.4339872044851463,3.9512437185814275,2.6390573296152584,4.564348191467836,1.9459101490553132
gene-b2662,host,gabT,5.817111159963204,6.586171654854675,6.57507584059962,7.2456550675945355,5.58724865840025,6.796823718274855,5.198497031265826,5.231108616854587,4.948759890378168,4.394449154672439,5.4510384535657,4.477336814478207
gene-b0123,host,cueO,5.863631175598097,5.746203190540153,6.156978985585555,5.883322388488279,4.890349128221754,4.962844630259907,4.927253685157205,3.6109179126442243,5.0689042022202315,3.1780538303479458,5.777652323222656,2.772588722239781
gene-b1864,host,yebC,7.242082359256962,7.122059881629142,7.765569081097317,7.655390644826152,6.516193076042964,7.1098794630722715,5.703782474656201,5.598421958998375,5.389071729816501,4.709530201312334,5.111987788356544,5.030437921392435
gene-b0125,host,hpt,8.413830678421084,6.507277712385012,7.898411092811599,6.520621127558696,6.20050917404269,5.627621113690637,5.0369526024136295,4.653960350157523,5.25227342804663,3.7376696182833684,5.220355825078324,4.204692619390966
gene-b4774,host,yncP,5.958424693029782,4.143134726391533,5.834810737062605,4.418840607796598,4.477336814478207,3.7376696182833684,3.912023005428146,2.6390573296152584,4.30406509320417,2.4849066497880004,4.007333185232471,1.791759469228055
gene-b2205,host,napG,4.143134726391533,2.9444389791664403,3.8501476017100584,3.367295829986474,3.784189633918261,3.1354942159291497,3.6375861597263857,1.791759469228055,4.02535169073515,1.3862943611198906,4.564348191467836,1.3862943611198906
gene-T4p017,phage,dda,3.6635616461296463,1.6094379124341003,8.434897948689407,4.584967478670572,,8.740976538017787,,,,,,
gene-b2890,host,lysS,9.185227671161108,8.235625719964311,9.559869847754044,8.427049641563272,7.700747794511798,7.721791776817535,6.416732282512326,6.251903883165888,6.661854740545311,5.736572297479192,6.212606095751519,5.902633333401366
gene-b1672,host,ydhW,3.6888794541139363,2.772588722239781,3.367295829986474,2.1972245773362196,3.258096538021482,1.6094379124341003,3.4339872044851463,1.9459101490553132,2.9444389791664403,0.6931471805599453,4.30406509320417,1.0986122886681098
gene-b1643,host,ydhI,4.795790545596741,1.6094379124341003,3.8918202981106265,2.6390573296152584,3.1354942159291497,1.6094379124341003,2.6390573296152584,0.6931471805599453,2.8903717578961645,0.0,3.912023005428146,1.0986122886681098
gene-b3571,host,malS,5.998936561946683,4.31748811353631,5.575949103146316,3.912023005428146,5.0238805208462765,2.9444389791664403,4.941642422609304,2.1972245773362196,5.043425116919247,1.3862943611198906,6.104793232414985,0.6931471805599453
gene-T4p212,phage,30.9,4.007333185232471,1.6094379124341003,9.092344813738475,2.70805020110221,,7.993282328101591,,,,,,
gene-b3825,host,pldB,7.907651594711089,5.978885764901122,7.395107546562485,6.234410725718371,5.66988092298052,4.962844630259907,5.241747015059643,4.30406509320417,5.484796933490655,3.6635616461296463,5.932245187448011,3.7612001156935624
gene-b4046,host,zur,6.226536669287466,4.07753744390572,5.472270673671475,4.2626798770413155,4.3694478524670215,3.828641396489095,4.219507705176107,2.995732273553991,4.343805421853684,2.1972245773362196,4.394449154672439,1.791759469228055
